saleID,saleDate,productID,productName,productCategory,productColor,productSize,quantity,unitPrice,costPrice,totalAmount,totalCost,customerID,customerName,location,locationLatitude,locationLongitude,salespersonID,salespersonName,status,salesChannel,year,month,year_month,revenue,cost,profit,margin_pct
S00047,2024-03-28 16:05:00,P1046,Jeans_046,Jeans,Maroon,M,4,2477.12,1590.37,9908.48,6361.48,C20046,Kavin_0046,Tirunelveli,8.7139,77.7567,SP104,Salesperson_4,Pending,in-store,2024,3,2024-03,9908.48,6361.48,3547.0,0.3579761981656117
S00048,2023-12-03 20:44:00,P1047,Sarees_047,Sarees,White,S,1,514.23,417.9,514.23,417.9,C20047,Ravi_0047,Salem,11.6643,78.146,SP139,Salesperson_39,Cancelled,in-store,2023,12,2023-12,514.23,417.9,96.33000000000004,0.1873286272679541
S00049,2023-12-26 13:25:00,P1048,Men's_048,Men's Shirts,Maroon,M,1,2194.27,1917.73,2194.27,1917.73,C20048,Ganesh_0048,Coimbatore,11.0168,76.9558,SP108,Salesperson_8,Returned,mobile_app,2023,12,2023-12,2194.27,1917.73,276.53999999999996,0.12602824629603465
S00050,2023-11-29 16:47:00,P1049,Women's_049,Women's Dresses,Blue,XXL,1,363.16,261.12,363.16,261.12,C20049,Anu_0049,Madurai,9.9252,78.1198,SP117,Salesperson_17,Returned,mobile_app,2023,11,2023-11,363.16,261.12,102.04000000000002,0.2809780812864853
S00051,2023-02-02 20:01:00,P1050,Jeans_050,Jeans,Yellow,S,1,416.16,321.89,416.16,321.89,C20050,Lakshmi_0050,Salem,11.6643,78.146,SP132,Salesperson_32,Shipped,in-store,2023,2,2023-02,416.16,321.89,94.27000000000004,0.22652345251826228
S00052,2023-01-24 15:32:00,P1051,T-Shirts_051,T-Shirts,Red,XS,2,2129.55,1827.41,4259.1,3654.82,C20051,Lakshmi_0051,Erode,11.34,77.7172,SP117,Salesperson_17,Paid,mobile_app,2023,1,2023-01,4259.1,3654.82,604.2800000000002,0.1418797398511423
S00053,2023-06-12 10:18:00,P1052,Men's_052,Men's Shirts,Yellow,S,1,492.24,372.46,492.24,372.46,C20052,Lakshmi_0052,Salem,11.6643,78.146,SP110,Salesperson_10,Shipped,online,2023,6,2023-06,492.24,372.46,119.78000000000003,0.24333658378026984
S00054,2024-05-15 12:37:00,P1053,Kurta_053,Kurta,Maroon,XS,2,2136.65,1406.59,4273.3,2813.18,C20053,Diya_0053,Coimbatore,11.0168,76.9558,SP144,Salesperson_44,Pending,in-store,2024,5,2024-05,4273.3,2813.18,1460.1200000000003,0.34168441251491827
S00055,2023-09-25 18:08:00,P1054,Men's_054,Men's Shirts,Yellow,XL,2,2429.93,1978.88,4859.86,3957.76,C20054,Anu_0054,Madurai,9.9252,78.1198,SP127,Salesperson_27,Pending,mobile_app,2023,9,2023-09,4859.86,3957.76,902.0999999999995,0.18562263110459962
S00056,2023-01-27 14:26:00,P1055,Men's_055,Men's Shirts,White,M,1,380.45,231.16,380.45,231.16,C20055,Ganesh_0055,Chennai,13.0827,80.2707,SP122,Salesperson_22,Pending,in-store,2023,1,2023-01,380.45,231.16,149.29,0.39240373242213167
S00057,2024-09-17 20:41:00,P1056,Jeans_056,Jeans,Blue,M,2,333.85,291.97,667.7,583.94,C20056,Sanjay_0056,Erode,11.34,77.7172,SP139,Salesperson_39,Pending,in-store,2024,9,2024-09,667.7,583.94,83.75999999999999,0.1254455593829564
S00058,2023-10-15 12:05:00,P1057,Jeans_057,Jeans,Green,S,1,1718.45,1175.39,1718.45,1175.39,C20057,Ganesh_0057,Erode,11.34,77.7172,SP101,Salesperson_1,Pending,online,2023,10,2023-10,1718.45,1175.39,543.06,0.3160173412086473
S00059,2024-09-12 18:33:00,P1058,Sarees_058,Sarees,Pink,XXL,3,1879.09,1154.35,5637.27,3463.05,C20058,Bhuvana_0058,Tiruchirappalli,10.7905,78.7047,SP117,Salesperson_17,Pending,in-store,2024,9,2024-09,5637.27,3463.05,2174.2200000000003,0.385686688769564
S00060,2024-01-03 11:07:00,P1059,Women's_059,Women's Dresses,Pink,XS,2,466.97,286.63,933.94,573.26,C20059,Bhuvana_0059,Vellore,12.9165,79.1325,SP114,Salesperson_14,Pending,online,2024,1,2024-01,933.94,573.26,360.68000000000006,0.38619183245176353
S00061,2023-01-27 20:42:00,P1060,Sportswear_060,Sportswear,Yellow,M,2,239.47,198.52,478.94,397.04,C20060,Bhuvana_0060,Tiruchirappalli,10.7905,78.7047,SP114,Salesperson_14,Paid,online,2023,1,2023-01,478.94,397.04,81.89999999999998,0.1710026308097047
S00062,2024-06-08 14:27:00,P1061,Jeans_061,Jeans,Pink,M,2,1116.56,876.23,2233.12,1752.46,C20061,Vishal_0061,Coimbatore,11.0168,76.9558,SP149,Salesperson_49,Returned,in-store,2024,6,2024-06,2233.12,1752.46,480.65999999999985,0.21524145590026506
S00063,2024-02-17 10:22:00,P1062,Sarees_062,Sarees,Maroon,L,1,2346.9,1760.91,2346.9,1760.91,C20062,Lakshmi_0062,Tirunelveli,8.7139,77.7567,SP101,Salesperson_1,Paid,in-store,2024,2,2024-02,2346.9,1760.91,585.99,0.24968682091269334
S00064,2023-12-17 18:36:00,P1063,T-Shirts_063,T-Shirts,Green,XL,4,2371.78,2040.11,9487.12,8160.44,C20063,Vishal_0063,Chennai,13.0827,80.2707,SP106,Salesperson_6,Cancelled,online,2023,12,2023-12,9487.12,8160.44,1326.6800000000012,0.13984012007859087
S00065,2024-02-18 19:40:00,P1064,Kurta_064,Kurta,Yellow,XXL,1,1679.56,1238.63,1679.56,1238.63,C20064,Sanjay_0064,Tirunelveli,8.7139,77.7567,SP127,Salesperson_27,Cancelled,mobile_app,2024,2,2024-02,1679.56,1238.63,440.92999999999984,0.26252709042844546
S00066,2023-12-21 21:23:00,P1065,Women's_065,Women's Dresses,Pink,XL,1,1698.41,1124.36,1698.41,1124.36,C20065,Meena_0065,Salem,11.6643,78.146,SP102,Salesperson_2,Shipped,mobile_app,2023,12,2023-12,1698.41,1124.36,574.0500000000002,0.33799259307234425
S00067,2023-06-28 12:22:00,P1066,Men's_066,Men's Shirts,Maroon,XL,2,417.22,335.82,834.44,671.64,C20066,Lakshmi_0066,Tiruchirappalli,10.7905,78.7047,SP123,Salesperson_23,Shipped,in-store,2023,6,2023-06,834.44,671.64,162.80000000000007,0.19510090599683627
S00068,2023-02-16 13:50:00,P1067,Women's_067,Women's Dresses,Yellow,XL,1,983.44,666.98,983.44,666.98,C20067,Karthik_0067,Coimbatore,11.0168,76.9558,SP146,Salesperson_46,Returned,online,2023,2,2023-02,983.44,666.98,316.46000000000004,0.3217888229073457
S00069,2023-11-19 18:20:00,P1068,T-Shirts_068,T-Shirts,Pink,M,1,2218.19,1820.07,2218.19,1820.07,C20068,Priya_0068,Salem,11.6643,78.146,SP135,Salesperson_35,Pending,in-store,2023,11,2023-11,2218.19,1820.07,398.1200000000001,0.17947966585369157
S00070,2024-06-06 13:10:00,P1069,Jeans_069,Jeans,Pink,XXL,1,1507.6,1165.04,1507.6,1165.04,C20069,Priya_0069,Madurai,9.9252,78.1198,SP139,Salesperson_39,Cancelled,in-store,2024,6,2024-06,1507.6,1165.04,342.55999999999995,0.2272220748209074
S00071,2024-04-20 11:15:00,P1070,T-Shirts_070,T-Shirts,Pink,XL,4,2340.74,2007.24,9362.96,8028.96,C20070,Bhuvana_0070,Chennai,13.0827,80.2707,SP119,Salesperson_19,Returned,online,2024,4,2024-04,9362.96,8028.96,1333.999999999999,0.1424763109102249
S00072,2023-10-06 19:45:00,P1071,Jeans_071,Jeans,Pink,XL,1,1068.78,812.59,1068.78,812.59,C20071,Sathish_0071,Tirunelveli,8.7139,77.7567,SP129,Salesperson_29,Shipped,in-store,2023,10,2023-10,1068.78,812.59,256.18999999999994,0.23970321300922542
S00073,2023-11-19 14:17:00,P1072,Sportswear_072,Sportswear,Black,XL,1,1095.16,660.66,1095.16,660.66,C20072,Ravi_0072,Madurai,9.9252,78.1198,SP142,Salesperson_42,Paid,mobile_app,2023,11,2023-11,1095.16,660.66,434.5000000000001,0.3967456809963842
S00074,2024-08-11 11:19:00,P1073,T-Shirts_073,T-Shirts,Maroon,XXL,3,1756.57,1308.22,5269.71,3924.66,C20073,Lakshmi_0073,Tirunelveli,8.7139,77.7567,SP105,Salesperson_5,Pending,mobile_app,2024,8,2024-08,5269.71,3924.66,1345.0500000000002,0.2552417495459902
S00075,2023-11-17 10:05:00,P1074,T-Shirts_074,T-Shirts,Black,S,2,955.93,766.42,1911.86,1532.84,C20074,Kavin_0074,Chennai,13.0827,80.2707,SP102,Salesperson_2,Pending,in-store,2023,11,2023-11,1911.86,1532.84,379.02,0.1982467335474355
S00076,2024-05-04 19:47:00,P1075,Sportswear_075,Sportswear,Blue,L,2,2341.14,2088.94,4682.28,4177.88,C20075,Priya_0075,Tiruchirappalli,10.7905,78.7047,SP145,Salesperson_45,Shipped,in-store,2024,5,2024-05,4682.28,4177.88,504.39999999999964,0.10772529622320742
S00077,2024-10-09 10:44:00,P1076,Sportswear_076,Sportswear,Pink,S,2,1007.1,639.63,2014.2,1279.26,C20076,Kavin_0076,Chennai,13.0827,80.2707,SP148,Salesperson_48,Paid,mobile_app,2024,10,2024-10,2014.2,1279.26,734.94,0.3648793565683646
S00078,2023-04-03 19:37:00,P1077,Kurta_077,Kurta,Black,S,2,2128.51,1549.19,4257.02,3098.38,C20077,Sanjay_0077,Vellore,12.9165,79.1325,SP103,Salesperson_3,Cancelled,in-store,2023,4,2023-04,4257.02,3098.38,1158.6400000000003,0.27217161300628145
S00079,2023-05-25 14:53:00,P1078,Jeans_078,Jeans,Blue,L,1,387.1,242.11,387.1,242.11,C20078,Kavin_0078,Vellore,12.9165,79.1325,SP142,Salesperson_42,Cancelled,in-store,2023,5,2023-05,387.1,242.11,144.99,0.3745543787135107
S00080,2024-10-03 14:22:00,P1079,Sarees_079,Sarees,Grey,XL,2,744.38,649.33,1488.76,1298.66,C20079,Bhuvana_0079,Erode,11.34,77.7172,SP135,Salesperson_35,Shipped,in-store,2024,10,2024-10,1488.76,1298.66,190.0999999999999,0.12769015825250538
S00081,2024-01-20 14:42:00,P1080,Kid's_080,Kid's Wear,Grey,L,1,1987.44,1525.4,1987.44,1525.4,C20080,Vishal_0080,Tiruchirappalli,10.7905,78.7047,SP140,Salesperson_40,Returned,in-store,2024,1,2024-01,1987.44,1525.4,462.03999999999996,0.23247997423821598
S00082,2023-10-03 20:06:00,P1081,Sportswear_081,Sportswear,Black,M,1,783.47,565.32,783.47,565.32,C20081,Ravi_0081,Coimbatore,11.0168,76.9558,SP145,Salesperson_45,Returned,third-party,2023,10,2023-10,783.47,565.32,218.14999999999998,0.2784407826719593
S00083,2024-01-07 18:46:00,P1082,Jeans_082,Jeans,White,M,4,1693.18,1394.86,6772.72,5579.44,C20082,Karthik_0082,Coimbatore,11.0168,76.9558,SP108,Salesperson_8,Pending,in-store,2024,1,2024-01,6772.72,5579.44,1193.2800000000007,0.17618918248502827
S00084,2024-01-15 21:22:00,P1083,Jeans_083,Jeans,Pink,XXL,1,390.65,296.31,390.65,296.31,C20083,Kavin_0083,Tiruchirappalli,10.7905,78.7047,SP104,Salesperson_4,Shipped,in-store,2024,1,2024-01,390.65,296.31,94.33999999999997,0.24149494432356325
S00085,2023-10-11 19:58:00,P1084,Kurta_084,Kurta,Yellow,XL,2,299.27,259.57,598.54,519.14,C20084,Ravi_0084,Erode,11.34,77.7172,SP103,Salesperson_3,Pending,mobile_app,2023,10,2023-10,598.54,519.14,79.39999999999998,0.1326561299161292
S00086,2023-12-10 21:04:00,P1085,Kurta_085,Kurta,Pink,XL,1,1799.45,1120.39,1799.45,1120.39,C20085,Devi_0085,Chennai,13.0827,80.2707,SP148,Salesperson_48,Cancelled,online,2023,12,2023-12,1799.45,1120.39,679.06,0.37737086331934755
S00087,2023-04-19 12:17:00,P1086,Kurta_086,Kurta,Grey,XS,1,1643.38,1274.1,1643.38,1274.1,C20086,Karthik_0086,Salem,11.6643,78.146,SP148,Salesperson_48,Shipped,online,2023,4,2023-04,1643.38,1274.1,369.2800000000002,0.22470761479390047
S00088,2024-08-08 10:16:00,P1087,Kurta_087,Kurta,Maroon,XXL,3,1248.01,980.99,3744.03,2942.97,C20087,Devi_0087,Tiruchirappalli,10.7905,78.7047,SP131,Salesperson_31,Pending,in-store,2024,8,2024-08,3744.03,2942.97,801.0600000000004,0.21395661893734835
S00089,2023-06-30 12:27:00,P1088,T-Shirts_088,T-Shirts,Pink,L,1,727.61,494.62,727.61,494.62,C20088,Aarav_0088,Erode,11.34,77.7172,SP121,Salesperson_21,Shipped,in-store,2023,6,2023-06,727.61,494.62,232.99,0.3202127513365677
S00090,2023-08-23 13:27:00,P1089,Kid's_089,Kid's Wear,Grey,S,4,1433.02,992.88,5732.08,3971.52,C20089,Sathish_0089,Chennai,13.0827,80.2707,SP125,Salesperson_25,Cancelled,third-party,2023,8,2023-08,5732.08,3971.52,1760.56,0.3071415611784902
S00091,2024-06-12 18:09:00,P1090,Men's_090,Men's Shirts,Blue,XXL,3,375.26,331.04,1125.78,993.12,C20090,Priya_0090,Madurai,9.9252,78.1198,SP129,Salesperson_29,Pending,in-store,2024,6,2024-06,1125.78,993.12,132.65999999999997,0.11783829877951285
S00092,2023-09-28 16:55:00,P1091,Men's_091,Men's Shirts,White,L,1,2345.28,2016.52,2345.28,2016.52,C20091,Karthik_0091,Tiruchirappalli,10.7905,78.7047,SP129,Salesperson_29,Returned,mobile_app,2023,9,2023-09,2345.28,2016.52,328.7600000000002,0.14017942420521226
S00093,2023-01-30 10:22:00,P1092,Sarees_092,Sarees,Pink,M,1,1304.85,1168.61,1304.85,1168.61,C20092,Sanjay_0092,Erode,11.34,77.7172,SP116,Salesperson_16,Paid,mobile_app,2023,1,2023-01,1304.85,1168.61,136.24,0.10441046863624173
S00094,2023-09-02 18:23:00,P1093,Sportswear_093,Sportswear,Red,XXL,1,2136.87,1819.54,2136.87,1819.54,C20093,Anu_0093,Chennai,13.0827,80.2707,SP122,Salesperson_22,Pending,in-store,2023,9,2023-09,2136.87,1819.54,317.3299999999999,0.1485022486159663
